     0.10000   12.5663706012       12.5663706012      -57.4593058704       3.54490947418       136.685004002      0.124099195637E-04   136.685016412      0.104351949998E-08  0.496877756838E-03  0.247485876469E-08  0.139370067681E-13  0.460197160223E-16  0.591300631179E-17
     0.20000   12.5663706012       12.5663706012      -57.4593059117       3.54490947410       136.685004093      0.119491972556E-04   136.685016042      0.104351684585E-08  0.487567150379E-03  0.961632741637E-08  0.213101849313E-12  0.108498065281E-16  0.952926689777E-17
     0.30000   12.5663706012       12.5663706012      -57.4593059784       3.54490947402       136.685004239      0.112092991165E-04   136.685015448      0.104351181515E-08  0.472230791316E-03  0.206040059896E-07  0.100412409571E-11  0.458996668823E-16  0.652674137771E-16
     0.40000   12.5663706012       12.5663706012      -57.4593060677       3.54490947395       136.685004435      0.102302220720E-04   136.685014666      0.104350516769E-08  0.451136122660E-03  0.341623655360E-07  0.286787654721E-11  0.686434085025E-16  0.508897804815E-16
     0.50000   12.5663706012       12.5663706012      -57.4593061758       3.54490947388       136.685004673      0.906426281161E-05   136.685013738      0.104349769450E-08  0.424650183564E-03  0.486879646037E-07  0.613035274410E-11  0.201966223877E-16  0.699136093116E-16
     0.60000   12.5663706012       12.5663706012      -57.4593062981       3.54490947382       136.685004942      0.777263952372E-05   136.685012715      0.104349039826E-08  0.393232436557E-03  0.624092896802E-07  0.107524826218E-10  0.263451928817E-15  0.236807558525E-16
     0.70000   12.5663706012       12.5663706012      -57.4593064292       3.54490947376       136.685005232      0.642157677178E-05   136.685011653      0.104348400060E-08  0.357425809583E-03  0.735633170083E-07  0.162094582926E-10  0.763448733714E-15  0.702790990503E-16
     0.80000   12.5663706012       12.5663706012      -57.4593065636       3.54490947371       136.685005528      0.507812926699E-05   136.685010607      0.104347913643E-08  0.317846142323E-03  0.805713646600E-07  0.215052310996E-10  0.126784141318E-14  0.894978441859E-16
     0.90000   12.5663706012       12.5663706012      -57.4593066954       3.54490947367       136.685005820      0.380603564339E-05   136.685009626      0.104347616658E-08  0.275170259275E-03  0.821970617457E-07  0.253326699020E-10  0.136199049276E-14  0.163217709003E-15
     1.00000   12.5663706012       12.5663706012      -57.4593068188       3.54490947363       136.685006093      0.266188703195E-05   136.685008755      0.104347503554E-08  0.230122920148E-03  0.776712480051E-07  0.263465742322E-10  0.471334339678E-15  0.596375830593E-16
     1.10000   12.5663706012       12.5663706012      -57.4593069284       3.54490947360       136.685006337      0.169186799382E-05   136.685008029      0.104347557331E-08  0.183462920422E-03  0.667720835303E-07  0.234858081520E-10  0.198108831364E-14  0.225276481995E-16
     1.20000   12.5663706012       12.5663706012      -57.4593070193       3.54490947358       136.685006539      0.929281562796E-06   136.685007468      0.104347729415E-08  0.135968631158E-03  0.498532180688E-07  0.162657808733E-10  0.619940048726E-14  0.993349599782E-16
     1.30000   12.5663706012       12.5663706012      -57.4593070871       3.54490947355       136.685006690      0.393009525622E-06   136.685007083      0.104347936195E-08  0.884232768684E-04  0.278180281497E-07  0.496582319351E-11  0.121321474281E-13  0.101153270279E-15
     1.40000   12.5663706012       12.5663706012      -57.4593071284       3.54490947353       136.685006783      0.869884929538E-07   136.685006870      0.104348131871E-08  0.416002533606E-04  0.204315702109E-08  0.933904642846E-11  0.189100106722E-13  0.934545330316E-16
     1.50000   12.5663706012       12.5663706012      -57.4593071408       3.54490947351       136.685006811      0.707325191615E-09   136.685006811      0.104348250873E-08  0.375121606042E-05  0.257406574052E-07  0.249149287565E-10  0.252889036905E-13  0.983754397122E-16
     1.60000   12.5663706012       12.5663706012      -57.4593071228       3.54490947348       136.685006770      0.110657857841E-06   136.685006881      0.104348266486E-08  0.469197976893E-04  0.535986475067E-07  0.396519624026E-10  0.298643013095E-13  0.739634242770E-16
     1.70000   12.5663706012       12.5663706012      -57.4593070740       3.54490947346       136.685006660      0.382604172929E-06   136.685007042      0.104348156504E-08  0.872448656871E-04  0.795585940813E-07  0.514336229269E-10  0.312018952001E-13  0.208984718181E-16
     1.80000   12.5663706012       12.5663706012      -57.4593069951       3.54490947344       136.685006480      0.774480777977E-06   136.685007255      0.104347960828E-08  0.124128171373E-03  0.101778433105E-06  0.585185133249E-10  0.288709881506E-13  0.449783171073E-16
     1.90000   12.5663706012       12.5663706012      -57.4593068876       3.54490947341       136.685006236      0.123969083839E-05   136.685007475      0.104347702007E-08  0.157044140553E-03  0.118699810684E-06  0.598555996873E-10  0.230671424275E-13  0.308357054879E-16
     2.00000   12.5663706012       12.5663706012      -57.4593067542       3.54490947338       136.685005930      0.173055460381E-05   136.685007661      0.104347443880E-08  0.185548607552E-03  0.129174302200E-06  0.552726047625E-10  0.149931054293E-13  0.434198143386E-16
     2.10000   12.5663706012       12.5663706012      -57.4593065981       3.54490947335       136.685005571      0.220165643260E-05   136.685007773      0.104347245428E-08  0.209285829997E-03  0.132551962281E-06  0.455022356499E-10  0.626628554569E-14  0.717511152572E-16
     2.20000   12.5663706012       12.5663706012      -57.4593064232       3.54490947332       136.685005167      0.261285588325E-05   136.685007780      0.104347170835E-08  0.227993666652E-03  0.128725638014E-06  0.320463652671E-10  0.136992094168E-14  0.499186632555E-16
     2.30000   12.5663706012       12.5663706012      -57.4593062339       3.54490947329       136.685004728      0.293176229466E-05   136.685007659      0.104347237101E-08  0.241506840808E-03  0.118128668022E-06  0.169077040127E-10  0.663949779236E-14  0.206113690666E-16
